2024-03-28T17:09:52.448 | INFO | [ejemplo_2_logging.py] | [25] | ¡Hola Mundo!
2024-03-28T17:09:52.448 | ERROR | [ejemplo_2_logging.py] | [26] | Mqtt Local connection faild
2024-03-28T17:09:52.449 | WARNING | [ejemplo_2_logging.py] | [27] | No se pudo enviar el paquete MQTT
2024-03-28T17:13:55.581 | INFO | [ejemplo_2_logging.py] | [25] | ¡Hola Mundo!
2024-03-28T17:13:55.581 | ERROR | [ejemplo_2_logging.py] | [26] | Mqtt Local connection faild
2024-03-28T17:13:55.582 | WARNING | [ejemplo_2_logging.py] | [27] | No se pudo enviar el paquete MQTT
2024-03-28T17:13:55.583 | DEBUG | [ejemplo_2_logging.py] | [28] | THRESHOLD_FIN 15.9
2024-03-28T17:35:49.572 | INFO | [ejemplo_3_signals_logging.py] | [76] | Mqtt Local conectado
2024-03-28T17:35:49.572 | INFO | [ejemplo_3_signals_logging.py] | [100] | Comienza thread procesamiento_local
2024-03-28T17:35:49.977 | INFO | [ejemplo_3_signals_logging.py] | [135] | Mqtt Remoto conectado
2024-03-29T11:49:24.733 | INFO | [ejemplo_3_signals_logging.py] | [127] | Termina thread procesamiento_local
2024-03-29T12:29:27.388 | INFO | [ejemplo_4_monitoreo.py] | [253] | Lanzar thread de procesamiento de MQTT local
2024-03-29T12:29:27.389 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T12:29:27.390 | INFO | [ejemplo_4_monitoreo.py] | [100] | Comienza thread procesamiento_local
2024-03-29T12:29:27.390 | INFO | [ejemplo_4_monitoreo.py] | [257] | Lanzar thread de procesamiento de MQTT remoto
2024-03-29T12:29:27.392 | INFO | [ejemplo_4_monitoreo.py] | [155] | Comienza thread procesamiento_remoto
2024-03-29T12:29:27.753 | INFO | [ejemplo_4_monitoreo.py] | [135] | Mqtt Remoto conectado
2024-03-29T12:30:21.431 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:21.661 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:22.483 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:22.676 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:23.176 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:23.678 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:24.190 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:24.689 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:25.206 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:25.697 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:26.707 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:26.766 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:27.299 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:27.736 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:28.226 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:28.735 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:29.732 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:29.784 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:30.271 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:30.746 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:31.297 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:31.744 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:32.258 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:32.757 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:33.258 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:33.775 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:34.269 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:34.766 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:35.742 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:35.797 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:36.316 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:36.781 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:37.749 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:37.809 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:38.363 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:38.801 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:40.097 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:40.233 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:40.291 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0
2024-03-29T12:30:40.795 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.10567176128227018
2024-03-29T12:30:41.310 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.21648640991440615
2024-03-29T12:30:41.812 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.027003612495519747
2024-03-29T12:30:42.308 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.13730345717589465
2024-03-29T12:30:42.815 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.707695561630155
2024-03-29T12:30:43.316 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.7368879517022418
2024-03-29T12:30:43.887 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.3301530097032579
2024-03-29T12:30:44.757 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.18048095033500822
2024-03-29T12:30:44.823 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.16620531669892813
2024-03-29T12:30:45.339 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.05269267951399925
2024-03-29T12:30:45.833 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.037174391053559575
2024-03-29T12:30:46.349 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.14753917386866533
2024-03-29T12:30:46.843 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0552578279361331
2024-03-29T12:30:47.475 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.04784240328814171
2024-03-29T12:30:47.847 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.06501155624722976
